type,step,pnl
sell,7486,-53.334518023610144
sell_short,7489,
buy_cover,7513,81.8207707973852
sell_short,7514,
buy_cover,7538,104.22431778886676
sell_short,7546,
buy_cover,7556,-50.8161705539751
sell_short,7559,
buy_cover,7571,-88.01327109004887
buy,7596,
sell,7620,28.048648606274583
buy,7630,
sell,7643,-22.7045837039841
buy,7644,
sell,7653,-23.868389572828164
buy,7657,
sell,7658,2.501298289609622
buy,7659,
sell,7683,53.21174301811152
buy,7686,
sell,7710,-24.05140142678647
buy,7711,
sell,7732,33.274374474367505
buy,7741,
sell,7762,-29.09680578580992
buy,7772,
sell,7773,3.0933113529990806
buy,7774,
sell,7775,-4.915604334704767
buy,7776,
sell,7787,-31.271032140830357
sell_short,7788,
buy_cover,7811,46.64127235464912
buy,7819,
sell,7820,-19.350443800874928
sell_short,7821,
buy_cover,7845,2.678145835376199
sell_short,7858,
buy_cover,7868,-2.0812304286555445
buy,7869,
sell,7870,-8.609848838686958
sell_short,7871,
buy_cover,7885,-36.667562015605654
buy,7894,
sell,7906,-29.963640511279664
sell_short,7907,
buy_cover,7931,46.83728533493195
sell_short,7941,
buy_cover,7958,4.495632918060437
sell_short,7959,
buy_cover,7983,121.92875256722618
sell_short,7994,
buy_cover,8018,160.9177399516302
sell_short,8052,
buy_cover,8061,-34.48210810906312
sell_short,8062,
buy_cover,8086,64.05056075859284
sell_short,8092,
buy_cover,8116,23.078352552887736
sell_short,8135,
buy_cover,8140,-29.69907767215409
sell_short,8141,
buy_cover,8145,-94.24812899299468
buy,8155,
sell,8171,-6.934119112267581
buy,8175,
sell,8186,-40.2345522641408
sell_short,8189,
buy_cover,8203,-25.659079469287462
buy,8218,
sell,8227,-20.02341083261308
sell_short,8252,
buy_cover,8254,-21.99737791811458
sell_short,8255,
buy_cover,8267,-30.052751575751245
buy,8272,
sell,8290,-19.93767630554612
sell_short,8304,
buy_cover,8328,214.63322536251235
sell_short,8347,
buy_cover,8370,8.273060163643095
sell_short,8371,
buy_cover,8377,-63.84877201151539
sell_short,8381,
buy_cover,8405,56.759442032047446
sell_short,8410,
buy_cover,8422,-18.717173791332243
buy,8435,
sell,8455,-29.93097567771656
sell_short,8457,
buy_cover,8473,-18.296652800228912
buy,8480,
sell,8493,-23.44782128737461
sell_short,8494,
buy_cover,8495,-4.903539059730974
sell_short,8496,
buy_cover,8497,-7.296811231619358
sell_short,8499,
buy_cover,8500,-10.495689977937218
buy,8501,
sell,8508,-28.887225533786477
sell_short,8511,
buy_cover,8519,-17.56126143380243
buy,8520,
sell,8521,-11.701637941467197
buy,8522,
sell,8523,-0.7286310608560598
buy,8524,
sell,8548,11.242894043834895
buy,8551,
sell,8575,52.818897771125194
buy,8577,
sell,8582,-28.393531498611992
buy,8583,
sell,8589,-25.85475109336039
sell_short,8592,
buy_cover,8593,4.813618833808505
sell_short,8596,
buy_cover,8599,-27.117306761132568
buy,8601,
sell,8603,-15.837681763554428
sell_short,8609,
buy_cover,8618,-13.158801653693445
buy,8619,
sell,8620,-4.81443774082436
buy,8621,
sell,8622,-11.299587957666517
sell_short,8623,
buy_cover,8627,-20.09279471939226
sell_short,8629,
buy_cover,8634,-10.89424725182107
buy,8635,
sell,8647,77.98942707848073
buy,8657,
sell,8675,35.058104946348976
buy,8677,
sell,8689,-41.89464648390458
buy,8690,
sell,8709,-18.794288461533142
sell_short,8710,
buy_cover,8719,-16.25529203023507
buy,8722,
sell,8735,-24.024034388356085
sell_short,8739,
buy_cover,8763,96.77549301307045
sell_short,8770,
buy_cover,8780,-21.479094839151003
sell_short,8783,
buy_cover,8798,-11.172575057311406
buy,8805,
sell,8812,9.748359307064675
buy,8813,
sell,8822,-30.86259943955156
sell_short,8825,
buy_cover,8826,-0.17705235340690706
sell_short,8836,
buy_cover,8849,-20.249565153833828
sell_short,8850,
buy_cover,8861,-14.008324565649673
buy,8862,
sell,8863,-6.043443674467198
buy,8864,
sell,8865,-14.628879014084305
sell_short,8866,
buy_cover,8870,-12.3342021985045
buy,8871,
sell,8875,-10.112822426593993
sell_short,8876,
buy_cover,8899,3.5153424108266336
buy,8908,
sell,8916,-7.128349022399561
sell_short,8918,
buy_cover,8919,0.33262484320766816
sell_short,8920,
buy_cover,8921,-9.443022482048036
buy,8922,
sell,8924,-72.44560529259252
sell_short,8937,
buy_cover,8961,5.55881647591923
buy,8967,
sell,8975,-37.50901090974821
sell_short,8978,
buy_cover,8991,-25.525809821011535
buy,8994,
sell,9016,10.91921971841748
buy,9017,
sell,9031,-31.26197931637762
sell_short,9043,
buy_cover,9058,-143.10286503356838
buy,9065,
sell,9089,146.07527418186692
buy,9125,
sell,9149,32.85480395811828
buy,9163,
sell,9175,-29.532438730119793
buy,9176,
sell,9195,36.40018203021009
buy,9212,
sell,9219,-23.28782279600364
buy,9225,
sell,9228,-62.41255438980443
buy,9238,
sell,9239,-2.7456141808997927
buy,9247,
sell,9257,-37.69987879906057
sell_short,9258,
buy_cover,9282,127.37898517586291
sell_short,9293,
buy_cover,9309,-55.08854701988548
buy,9318,
sell,9329,-20.996663018975596
sell_short,9330,
buy_cover,9339,23.572643320655516
sell_short,9341,
buy_cover,9352,-54.55101094920883
buy,9379,
sell,9396,-44.81434981678922
buy,9398,
sell,9419,-15.014316461531052
sell_short,9424,
buy_cover,9436,13.56421556726309
sell_short,9437,
buy_cover,9461,119.85042397737016
sell_short,9472,
buy_cover,9482,-64.94889000218973
sell_short,9489,
buy_cover,9490,-35.16176476047167
buy,9518,
sell,9521,-114.19291998638982
buy,9524,
sell,9548,107.68611802928172
buy,9558,
sell,9576,12.135790939113576
buy,9577,
sell,9598,-11.494879301104447
buy,9600,
sell,9613,-40.01726387684994
sell_short,9615,
buy_cover,9625,-22.99274221657106
buy,9628,
sell,9647,-10.507364759211669
sell_short,9667,
buy_cover,9676,-47.22103359523953
