datetime,close,signal,position,equity
2026-04-15 15:25:00,74026.71,1,0,9999.012913401117
2026-04-15 15:30:00,73653.69,2,1,9984.021889542946
2026-04-15 15:35:00,73739.9,2,1,9995.707964294903
2026-04-15 15:40:00,73853.38,2,1,10011.09058536963
2026-04-15 15:45:00,73914.03,2,1,10019.311910432918
2026-04-15 15:50:00,73839.4,2,1,10009.195546220662
2026-04-15 15:55:00,73844.08,2,1,10009.82993700873
2026-04-15 16:00:00,73954.73,2,1,10024.828941431697
2026-04-15 16:05:00,73974.7,2,1,10027.535946567952
2026-04-15 16:10:00,74010.35,2,1,10032.368431951403
2026-04-15 16:15:00,74063.28,2,1,10039.543283321558
2026-04-15 16:20:00,74113.44,2,1,10046.342651255189
2026-04-15 16:25:00,74095.13,2,1,10043.860665073675
2026-04-15 16:30:00,74022.89,2,1,10034.06827393481
2026-04-15 16:35:00,74025.3,2,1,10034.394958079947
2026-04-15 16:40:00,73899.17,2,1,10017.297584127222
2026-04-15 16:45:00,74000.0,2,1,10030.96545232395
2026-04-15 16:50:00,73842.77,2,1,10009.652361809505
2026-04-15 16:55:00,73941.09,2,1,10022.979990502376
2026-04-15 17:00:00,74073.59,2,1,10040.940840805524
2026-04-15 17:05:00,74049.67,2,1,10037.698398999853
2026-04-15 17:10:00,74038.84,2,1,10036.230353650548
2026-04-15 17:15:00,74026.06,2,1,10034.497978806214
2026-04-15 17:20:00,74018.87,2,1,10033.52334851429
2026-04-15 17:25:00,74116.23,2,1,10046.720845763457
2026-04-15 17:30:00,74143.47,2,1,10050.41332547861
2026-04-15 17:35:00,74076.84,2,1,10041.381389963903
2026-04-15 17:40:00,73980.0,2,1,10028.254380580078
2026-04-15 17:45:00,73999.35,2,1,10030.877342492275
2026-04-15 17:50:00,74114.86,2,1,10046.535137349003
2026-04-15 17:55:00,74134.95,2,1,10049.25840891572
2026-04-15 18:00:00,74242.54,2,1,10063.842619361876
2026-04-15 18:05:00,74222.0,2,1,10061.058348680921
2026-04-15 18:10:00,74283.8,2,1,10069.435560369484
2026-04-15 18:15:00,74310.88,2,1,10073.106351510687
2026-04-15 18:20:00,74275.12,2,1,10068.258955232643
2026-04-15 18:25:00,74202.93,2,1,10058.473341773139
2026-04-15 18:30:00,74310.48,2,1,10073.052130075808
2026-04-15 18:35:00,74262.04,2,1,10066.48591431215
2026-04-15 18:40:00,74311.69,2,1,10073.216149916312
2026-04-15 18:45:00,74344.8,2,1,10077.704329188293
2026-04-15 18:50:00,74368.33,2,1,10080.893905094956
2026-04-15 18:55:00,74390.29,2,1,10083.870661869725
2026-04-15 19:00:00,74453.28,2,1,10092.40918232705
2026-04-15 19:05:00,74679.83,2,1,10123.118847505753
2026-04-15 19:10:00,74644.74,2,1,10118.362272131131
